Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
A1BG	32	9	8	2	4	7
A1BGAS	35.83524317	24.14374694	22.78256935	12.11323492	11.0742036	17.23952584
A1CF	1	1	0	1	0	0
A2LD1	15	0	1	1	0	1
A2M	318.7828531	13.52881727	11.15186127	3.393152816	5.762007111	8.889373885
A2ML1	8.591231325	8.809340965	19.0641298	18.95968815	10.27840469	25.02318674
A4GALT	233	101	109	51	39	164
A4GNT	0	0	0	0	0	0
AAA1	12.39459707	4.327380953	4.38546176	5.78823203	4.843528693	5.817460318
AAAS	2025.166667	1312.5	1350.785714	977	622	1171
AACS	29.58333333	10.5	14.5	8	7	11.16666667
AACSL	5.142857143	2	0.5	2	5	2.5
AADAC	13.53433431	3.45767155	8.111910419	4.397544832	4.200844783	7.108024136
AADACL2	0	0	0	0	0	0
AADACL3	13	107	182	154	106	22
AADACL4	0	0	0	0	0	0
AADAT	104.2619048	69.98431372	98.3	71	47.30769231	65.35
AAGAB	52.11531385	27.33181818	26.71515152	19.56428571	16.51025641	14.31881404
AAK1	266.7480819	85.51248848	75.65694896	67.71959859	56.60606679	55.66440334
AAMP	87.11994135	67.4694759	66.82918195	54.32688589	27.36426628	37.21988569
AANAT	24.6459596	37.76262627	42.57395002	27.76053391	18.50505051	33.18131313
AARS	13	26	28	23	10	22
AARS2	43.83788188	31.81879129	23.14561815	23.46964742	15.67027042	25.2820623
AARSD1	108.1666667	105	83.33333333	63	51	70.66666667
AASDH	52.4	33	47.5	36.2	30	40.1
AASDHPPT	20.61507936	13.80263158	8.833333333	9.333333334	8.30952381	7.783333333
AASS	402.2381276	1283.740079	1737.081624	1640.957852	846.9162088	1223.577374
AATF	237.6130268	170.8405913	145.8461975	102.5233543	81.04076097	109.8137608
AATK	4.005128205	2.196305419	1.627789046	0.585746606	1.576923077	0.742685963
ABAT	5	0	5	4	1	1
ABCA1	3	2	3	0	1	0
ABCA10	1.5	2.5	1	1.5	0	1
ABCA11P	1.5	1.57030303	3.252525253	2.5	0.03030303	0
ABCA12	0	0	2	0	0	0
ABCA13	37.74293308	15.67554113	18.21683219	19.62380786	10.77811448	18.21226361
ABCA17P	0	0	0	0	0	0
ABCA2	48.83333334	7.8	14.66666667	2.333333334	5	7
ABCA3	10	3	7	1	2	7
ABCA4	0	0	0	0	0	0
ABCA5	13.57142857	2	0	0	0	0.071428571
ABCA6	2	0	0	0	0	0
ABCA7	2	4	4	7	1	5
ABCA8	1.755555556	0	1	0	0	0.333333334
ABCA9	28.67063817	23.47991691	44.19173027	30.55069573	13.29962919	27.70514691
ABCB1	0.25	1	0	1	0	0
ABCB10	33	18	10	17	12	15
ABCB11	0	0	0	0	0	0
ABCB4	35.75	3	2	3	2	2
ABCB5	4.477315169	1.779866333	4.067216117	3.522745675	2.483060418	5.068452746
ABCB6	14.70800866	10.19444445	5.842857143	5.390909091	4.296703297	11.43181818
ABCB7	34.19444445	31.38452381	39.35781441	34.82777778	21.85	20.79166667
ABCB8	10	1	2	2	1	1
ABCB9	18.7	11.25	15.6	14.85	16.55	20.3
ABCC1	46	14	35	18	10	13
