Item,Occurences,Present In
TGIF1,7,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
ARSB,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
BAZ2B,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
BEX2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CAMK2N1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
CERS6,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
COPZ2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CRISPLD2,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
CSF1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
DDR2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
DTNBP1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
EMP1,6,GSE38265; GSE69626; GSE239446; GSE113253; GSE252276; GSE139273
ENC1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
EPG5,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
EPHA4,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
FGD4,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
FILIP1L,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
FOXP1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
FRMD4B,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
GBP3,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
GCNT1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
GEM,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
GSAP,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
IFNGR1,6,GSE69626; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
IRS2,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
ITGB3BP,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
LPP,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
METAP2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
NEAT1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
NEK7,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
NFIX,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253; GSE139273
NIPAL2,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
NR3C1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
PFKFB3,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
PKIA,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253; GSE139273
PLEKHA7,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
PRICKLE2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
RAPH1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
RPLP2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
RRAGA,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SFT2D2,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SHPRH,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SMCO4,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SNN,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SNX10,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
SNX30,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
SORT1,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
SOX13,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
SV2A,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253; GSE139273
SYTL3,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
TBC1D2B,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
THBS1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
TNRC6B,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
TRNT1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
USP53,6,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
UTRN,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
XPO1,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ZBTB37,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ZEB1,6,GSE38265; GSE69626; GSE164425; GSE113253; GSE252276; GSE139273
ZNF268,6,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ABCC3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ABCC9,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
ABCD3,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ABCF2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ABHD15,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ABI1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ABLIM3,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
ACP6,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
ACTA2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
ACTR2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ADAM12,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
ADAM9,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ADARB1,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
ADCY9,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ADGRG6,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ADI1,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
ADORA2B,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
AFAP1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
AFAP1L2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
AIFM2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
AK4,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
AKAP7,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
ALG1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ALMS1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
ANXA3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ANXA5,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
APBB2,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
ARAP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ARFGAP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ARFGEF3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ARGLU1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
ARHGAP12,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ARHGAP18,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ARHGAP42,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
ARHGEF11,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ARL4C,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
ASAH1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ASAP1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
ASPH,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATF7IP,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATL3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATM,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATOH8,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATP10A,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
ATP10D,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
ATP2B4,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATP6V1A,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
ATP6V1H,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ATP8B1,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE139273
ATP9A,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
B3GNT2,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE139273
B3GNT9,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
B4GALNT1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
B4GALT1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
BAX,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
BCL2L1,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
BICC1,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
BIRC3,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
BMPR2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
BMS1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
BNC2,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
BRAF,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
BST2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
BTAF1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
BTBD19,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
C17orf75,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
C1orf115,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
C2CD2,5,GSE69626; GSE239446; GSE113253; GSE252276; GSE139273
C2CD5,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CARD11,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CAST,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CBLB,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CBX3,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
CBX5,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CCND2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
CCNT2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CD109,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CD164,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
CD9,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CDC27,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CDC42EP3,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
CDK17,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
CDYL,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CDYL2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CELSR1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CELSR2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CEP295,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CEP70,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
CFLAR,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
CHD9,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CHIC2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CHORDC1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
CHTOP,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CIT,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CLASP1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
CLIC4,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CLSTN1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CNN2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
COL5A2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
COL8A1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
COMT,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
COPB1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
COQ10A,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
COX6B1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
COX7C,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
CPNE7,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
CPPED1,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
CRABP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CREB3L2,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
CRIM1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CRTAP,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CSGALNACT2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CTBP1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
CTSB,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CYB561A3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CYP1B1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
CYTH3,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DAB2,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DAZAP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DBN1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DDIT4L,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
DDR1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
DEK,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
DGKI,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
DIAPH3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DICER1-AS1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DMTF1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
DNMBP,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DNMT3B,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DOCK10,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DOCK5,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DUSP1,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DYNLL1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
DYRK3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EFNA5,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
EFR3A,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
