Item,Occurences,Present In
ADORA2B,4,GSE164425; GSE113253; GSE252276; GSE139273
AHDC1,4,GSE164425; GSE113253; GSE252276; GSE139273
APBB2,4,GSE164425; GSE113253; GSE252276; GSE139273
APOOL,4,GSE164425; GSE113253; GSE252276; GSE139273
ARL4C,4,GSE164425; GSE113253; GSE252276; GSE139273
ARMC8,4,GSE164425; GSE113253; GSE252276; GSE139273
ATP6V1A,4,GSE164425; GSE113253; GSE252276; GSE139273
BCL2L1,4,GSE164425; GSE113253; GSE252276; GSE139273
BIRC3,4,GSE164425; GSE113253; GSE252276; GSE139273
CAMK2N1,4,GSE164425; GSE113253; GSE252276; GSE139273
CASP3,4,GSE164425; GSE113253; GSE252276; GSE139273
CDK17,4,GSE164425; GSE113253; GSE252276; GSE139273
CERS6,4,GSE164425; GSE113253; GSE252276; GSE139273
CFLAR,4,GSE164425; GSE113253; GSE252276; GSE139273
COMMD7,4,GSE164425; GSE113253; GSE252276; GSE139273
CPNE7,4,GSE164425; GSE113253; GSE252276; GSE139273
CRISPLD2,4,GSE164425; GSE113253; GSE252276; GSE139273
CSF1,4,GSE164425; GSE113253; GSE252276; GSE139273
DDIT4L,4,GSE164425; GSE113253; GSE252276; GSE139273
DUSP10,4,GSE164425; GSE113253; GSE252276; GSE139273
EHHADH,4,GSE164425; GSE113253; GSE252276; GSE139273
ENC1,4,GSE164425; GSE113253; GSE252276; GSE139273
EPG5,4,GSE164425; GSE113253; GSE252276; GSE139273
EPHA4,4,GSE164425; GSE113253; GSE252276; GSE139273
FGD4,4,GSE164425; GSE113253; GSE252276; GSE139273
FOXN2,4,GSE164425; GSE113253; GSE252276; GSE139273
FOXP1,4,GSE164425; GSE113253; GSE252276; GSE139273
FRMD4B,4,GSE164425; GSE113253; GSE252276; GSE139273
GAS1,4,GSE164425; GSE113253; GSE252276; GSE139273
GCNT1,4,GSE164425; GSE113253; GSE252276; GSE139273
GEM,4,GSE164425; GSE113253; GSE252276; GSE139273
GK5,4,GSE164425; GSE113253; GSE252276; GSE139273
GSAP,4,GSE164425; GSE113253; GSE252276; GSE139273
HMOX1,4,GSE164425; GSE113253; GSE252276; GSE139273
HPS5,4,GSE164425; GSE113253; GSE252276; GSE139273
IFNGR1,4,GSE164425; GSE113253; GSE252276; GSE139273
IRS2,4,GSE164425; GSE113253; GSE252276; GSE139273
KCTD2,4,GSE164425; GSE113253; GSE252276; GSE139273
LRRC8A,4,GSE164425; GSE113253; GSE252276; GSE139273
MAP1A,4,GSE164425; GSE113253; GSE252276; GSE139273
MBOAT2,4,GSE164425; GSE113253; GSE252276; GSE139273
MGLL,4,GSE164425; GSE113253; GSE252276; GSE139273
MIB1,4,GSE164425; GSE113253; GSE252276; GSE139273
MTHFD2,4,GSE164425; GSE113253; GSE252276; GSE139273
MYC,4,GSE164425; GSE113253; GSE252276; GSE139273
NEK7,4,GSE164425; GSE113253; GSE252276; GSE139273
NIPAL2,4,GSE164425; GSE113253; GSE252276; GSE139273
NR3C1,4,GSE164425; GSE113253; GSE252276; GSE139273
NUDT6,4,GSE164425; GSE113253; GSE252276; GSE139273
PER1,4,GSE164425; GSE113253; GSE252276; GSE139273
PHLDB2,4,GSE164425; GSE113253; GSE252276; GSE139273
PI4K2A,4,GSE164425; GSE113253; GSE252276; GSE139273
PIK3R1,4,GSE164425; GSE113253; GSE252276; GSE139273
PLEKHA7,4,GSE164425; GSE113253; GSE252276; GSE139273
RALA,4,GSE164425; GSE113253; GSE252276; GSE139273
RALGPS2,4,GSE164425; GSE113253; GSE252276; GSE139273
RPS6KA3,4,GSE164425; GSE113253; GSE252276; GSE139273
SEMA3A,4,GSE164425; GSE113253; GSE252276; GSE139273
SLC11A2,4,GSE164425; GSE113253; GSE252276; GSE139273
SLC7A11,4,GSE164425; GSE113253; GSE252276; GSE139273
SNX30,4,GSE164425; GSE113253; GSE252276; GSE139273
SORT1,4,GSE164425; GSE113253; GSE252276; GSE139273
SOX13,4,GSE164425; GSE113253; GSE252276; GSE139273
TAF4B,4,GSE164425; GSE113253; GSE252276; GSE139273
TCEAL4,4,GSE164425; GSE113253; GSE252276; GSE139273
TGIF1,4,GSE164425; GSE113253; GSE252276; GSE139273
TXNIP,4,GSE164425; GSE113253; GSE252276; GSE139273
UPP1,4,GSE164425; GSE113253; GSE252276; GSE139273
USP53,4,GSE164425; GSE113253; GSE252276; GSE139273
ZEB1,4,GSE164425; GSE113253; GSE252276; GSE139273
ABCA5,3,GSE164425; GSE252276; GSE139273
ABCA6,3,GSE164425; GSE113253; GSE139273
ABCC3,3,GSE164425; GSE252276; GSE139273
ABCD3,3,GSE164425; GSE252276; GSE139273
ABCF2,3,GSE164425; GSE252276; GSE139273
ABCF3,3,GSE164425; GSE252276; GSE139273
ABHD15,3,GSE164425; GSE252276; GSE139273
ABHD3,3,GSE164425; GSE252276; GSE139273
ABI1,3,GSE164425; GSE252276; GSE139273
ABLIM2,3,GSE164425; GSE113253; GSE139273
ABLIM3,3,GSE113253; GSE252276; GSE139273
ABRACL,3,GSE164425; GSE252276; GSE139273
ACAA2,3,GSE164425; GSE252276; GSE139273
