GeneID,GSM8253507,GSM8253508,GSM8253510,GSM8253512,GSM8253514,GSM8253515,GSM8253516,GSM8253517,GSM8253518
100287102,0.07527,0.08009,0.03477,0.01658,0.2253,0.01915,0.2045,0.1427,0.07445
653635,14.32,9.768,15.59,10.4,12.95,8.174,20.98,9.518,11.89
102466751,25.6,25.3,27.45,12.08,23.39,15.82,49.67,19.31,18.99
107985730,0,0.04919,0.05339,0.0509,0,0.05881,0,0,0
100302278,0.2253,0,0,0,0,0,0,0,0.2228
645520,0.02751,0,0,0.02424,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0.03349
100996442,0.6098,0.2866,0.9273,0.319,0.325,0.2909,0.5598,0.2477,0.3832
729737,0.3975,1.499,0.362,2.086,0.4822,1.746,3.113,0.3445,1.972
102725121,0.05804,0.06587,0.08937,0.03408,0.379,0,0.1635,0.2724,0.15310000000000001
102723897,13.96,10.05,13.9,10.29,15.37,8.014,21.06,10.96,14.39
102465909,11.89,6.616,7.603,8.055,9.455,3.723,11.59,7.924,10.85
107985721,0,0.009779,0.01061,0.02024,0.01251,0.01169,0.02774,0,0.02273
112268260,0.132,0.05218,0.2178,0.04569,0.1283,0.0288,0.1366,0.05108,0.06063
729759,0,0,0,0,0,0,0,0,0.03274
100132287,1.131,1.895,0.9004,2.682,1.355,2.15,3.53,0.8554,3.377
105378947,0.05307,0.04518,0.1716,0,0.1444,0.04051,0.08009,0.07187,0.06562
101928626,0,0.03316,0.03599,0,0,0.119,0,0,0
113219467,2262,1713,2029,2877,2032,1510,4875,1190,2105
81399,0.04841,0.009157,0.02982,0.01421,0.02342,0.01642,0.02597,0.005826,0.03192
100133331,1.426,1.666,1.149,1.961,1.806,1.696,3.452,1.135,2.634
107984841,2.182,2.029,1.892,2.366,2.887,2.084,4.094,1.564,3.719
107984847,4.871,4.965,3.257,7.736,5.721,6.263,9.751,2.639,11.28
107984849,1.665,1.323,1.641,2.25,2.538,2.147,2.547,1.203,2.745
100288069,2.063,1.197,1.676,1.119,2.073,0.877,2.081,1.032,1.278
105378580,0.2057,0.1288,0.2012,0.1546,0.1778,0.06774,0.263,0.1442,0.1317
400728,0.2878,0.09529,0.2807,0.1268,0.1741,0.09766,0.2317,0.1732,0.07908
79854,0.5901,0.7836,0.7197,0.3743,0.7195,0.5045,1.624,0.4347,0.7004
643837,1.333,1.321,1.391,1.272,1.151,1.134,1.472,1.08,1.285
107984850,0,0,0,0,0.02758,0,0.01529,0,0
284593,0.07289,0.03102,0.05051,0.04816,0.05951,0.07419,0.132,0.01974,0.03605
284600,1.289,0.1372,1.534,0.09938,0.6052,0.03281,0.2724,0.6198,0.2072
100130417,4.645,0.3514,7.762,0.6001,5.348,0.1471,0.4735,4.696,0.3675
107985728,4.161,0.3339,5.168,0.4131,4.065,0.2256,0.3191,3.39,0.312
148398,8.62,3.157,12.69,3.845,8.616,3.811,2.833,8.627,3.114
26155,19.76,25.67,21.08,30.19,20.96,37.22,25.73,20.47,36.76
339451,8.804,7.106,6.53,8.148,6.764,5.504,13.78,5.354,7
84069,1.141,1.288,1.291,1.115,0.7943,0.9797,3.046,0.4877,0.5144
84808,0.0774,0.2562,0.1907,0.1742,0.1404,0.1313,0.4361,0.06521,0.06804
57801,1.052,4.466,0.8228,4.436,0.6521,2.983,6.021,0.5262,4.26
9636,21.47,27.67,13.75,58.73,11.53,69.64,30.11,9.04,20.9
375790,19.41,77.15,18.32,64.19,15.37,81.49,78.44,10.42,36.65
100288175,0.06384,1.141,0.2359,2.053,0.06949,1.949,1.657,0,0.5051
112267874,0.0115,0.05874,0.02125,0.2128,0.01252,0.1873,0.1527,0.01246,0.02275
105378948,0.04259,0.3897,0.06885,0.6753,0.02318,0.5635,0.7841,0.01153,0.179
401934,0.03272,0,0,0.01441,0,0.01665,0,0,0
54991,3.656,4.331,3.106,5.473,3.423,4.697,5.926,3.102,5.487
254099,0,0,0,0,0,0,0,0,0
406984,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0
100506376,0,0,0,0,0,0,0,0,0.01473
254173,0,0,0,0,0,0,0,0,0
8784,0.03796,0.08616,0.02338,0.1115,0.02755,0.1159,0.07638,0.04112,0
7293,0.05081,0,0.07042,0.04476,0.02765,0.03448,0.1125,0.009174,0.01675
51150,55.5,53.72,59.47,66.47,58.49,74.49,46.06,61.16,47.95
126792,11.02,16.47,10.01,13.74,10.62,16.59,14.4,11.61,18.03
388581,1.092,1.294,1.251,1.025,1.189,1.475,2.724,1.261,1.245
118424,10.39,12.94,9.589,15.32,10.39,16.76,13.37,9.17,14.64
101928895,2.716,1.663,1.65,1.59,3.443,1.401,3.302,1.915,1.914
6339,2.962,1.638,2.483,2.287,4.022,2.103,4.916,1.864,2.446
116983,17.79,13.73,12.59,16.87,14.29,12.92,25.98,10.59,17.73
102465434,2.039,0.8676,1.413,1.796,2.219,1.037,3.076,0.5521,3.024
109623456,12.21,5.671,10.26,8.151,8.057,5.274,17.87,8.419,9.883
126789,9.709,12.71,7.872,12.16,7.046,14.18,12.15,7.012,12.56
54973,24.55,19.93,24,22.53,25.99,23.95,28.14,21.29,26.19
102465435,5.739,3.664,4.861,3.792,5.206,5.842,5.197,3.627,6.149
80772,7.023,9.407,7.943,10.82,7.044,11.57,8.812,7.708,9.969
83756,0.2068,0.2421,0.1672,0.205,0.2908,0.1491,0.3122,0.1214,0.1364
1855,22.11,21.9,22.91,24.47,20.72,25.11,28.27,18.79,24.65
102466740,3.688,1.794,1.947,1.392,4.015,1.073,2.545,2.283,3.648
54587,114,19.2,124.5,46.47,121.1,48.5,18.32,130.6,37.61
54998,28.93,37.57,26.65,41.47,26.41,49.98,34.55,26.26,46.99
81669,48.84,26.85,41.75,35.18,62.83,28.36,70.32,35.3,49.72
