"GeneID","BJ.Fibroblast.","BJ.OKS.iM.2","BJ.OKS.iM.21","BJ.OKS.iG.2","BJ.OKS.iG.5","HUES9"
"A1BG",-0.0856465660802969,-0.0644763458245566,-0.068027898655017,-0.0737492601384199,-0.0682039894487774,-0.0683413148516806
"A1BGAS",-0.0839955549078295,-0.0579167865832379,-0.0617365997218084,-0.0675546437772836,-0.0621735970655191,-0.0621671887638141
"A1CF",-0.0989915729228458,-0.0679415697310616,-0.071432610669148,-0.0743617858445998,-0.0716137823946622,-0.0725621042993946
"A2LD1",-0.092964795639114,-0.0683747227193747,-0.0710070216673816,-0.0743617858445998,-0.0716137823946622,-0.0719591343782926
"A2M",0.037808889950193,-0.062514675090532,-0.0666865011634117,-0.0728959182259829,-0.0667019695943557,-0.06720207922931
"A2ML1",-0.0957236686010556,-0.0645589303553157,-0.0633191266980215,-0.0633610151777502,-0.0628519744429343,-0.0574738753650564
"A4GALT",0.000880736350423156,-0.0246262708997492,-0.0250434094766136,-0.0437355005356047,-0.0383683011722852,0.0263249627613318
"A4GNT",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"AAA1",-0.0940863801529349,-0.0665003047280135,-0.069566206376425,-0.0714288706390708,-0.0674849249020167,-0.0690543507104362
"AAAS",0.772379976160197,0.5001385744416,0.503446932952386,0.523463303386983,0.458609020690427,0.633515673311036
"AACS",-0.0866869026366617,-0.0638266163420869,-0.0652615701435356,-0.0700741059013405,-0.0656466447393638,-0.0658289401784125
"AACSL",-0.0972081388286188,-0.0675084167427484,-0.0712198161682648,-0.0737492601384199,-0.0673515412123062,-0.0710546794966396
"AADAC",-0.0935957414024024,-0.0668770219548869,-0.0679802708115076,-0.0722807022971011,-0.0680327796677046,-0.0682761795469196
"AADACL2",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"AADACL3",-0.0938257638225043,-0.0220273529698704,0.00602458765233143,0.019354647200925,0.0187457306712855,-0.0592967660351508
"AADACL4",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"AADAT",-0.0545389656283093,-0.0380608080965135,-0.0295972117955138,-0.0314849864120067,-0.0312864235134803,-0.0331580199553795
"AAGAB",-0.0769872434684173,-0.0565358639986767,-0.0600629360017139,-0.0629906836303566,-0.0575396434342703,-0.0639282901274217
"AAK1",0.0154087487335973,-0.0313347327961711,-0.0392338452845724,-0.0334943166022205,-0.0233600405859555,-0.0389981434092854
"AAMP",-0.0619183081939536,-0.0391501176133694,-0.0429908458341844,-0.0416976974064526,-0.0482871618619478,-0.0501196327614702
"AANAT",-0.0888123634821802,-0.0520177283039725,-0.0533136057788849,-0.0579702709136258,-0.0558391847216021,-0.0525547705393381
"AARS",-0.0938257638225043,-0.0571127450232335,-0.0595161186196896,-0.060886220308642,-0.0630893000299502,-0.0592967660351508
"AARS2",-0.0805505462515909,-0.0545923181875996,-0.0615820901454239,-0.0605985491910509,-0.0582556880101063,-0.057317781189068
"AARSD1",-0.0528580277485021,-0.0228936589464967,-0.0359668605233691,-0.0363851920614459,-0.0281389223346308,-0.029952229872844
"AASDH",-0.0768646906097164,-0.0540806741050416,-0.0512171330852454,-0.0528008809870673,-0.0460403353005261,-0.0483830104632048
"AASDHPPT",-0.0905475933010284,-0.0623960716039126,-0.0676732411536869,-0.0692574049593589,-0.0645303434769122,-0.0678689884136851
"AASS",0.0737350579904928,0.487681128716801,0.667850223675718,0.930154555556973,0.650338446235776,0.665218248363566
"AATF",0.00286657100238642,0.00562538992740137,-0.00936207306370209,-0.01217612155824,-0.00253072862350128,-0.00634770961390577
"AATK",-0.0976979130370889,-0.0674233864638865,-0.0707398415539746,-0.074615526697297,-0.0702695370986228,-0.0721142870028809
"ABAT",-0.0972696365560653,-0.0683747227193747,-0.0693046656603162,-0.0725242087260601,-0.070761334158191,-0.0719591343782926
"ABCA1",-0.0981306047394555,-0.0675084167427484,-0.0701558436638489,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"ABCA10",-0.0987763308769982,-0.0672918402485919,-0.0710070216673816,-0.0740555229915098,-0.0716137823946622,-0.0719591343782926
"ABCA11P",-0.0987763308769982,-0.067694541269373,-0.0700483716935038,-0.0734429972853299,-0.071587950630179,-0.0725621042993946
"ABCA12",-0.0994220570145409,-0.0683747227193747,-0.0705814326656153,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"ABCA13",-0.0831743247496872,-0.0615848152354899,-0.0636797272420604,-0.0629542247833945,-0.0624259977137014,-0.0615806571473842
